Subject ID	max(abs(Tx))	max(abs(Ty))	max(abs(Tz))	max(abs(Rx))	max(abs(Ry))	max(abs(Rz))	mean(abs(Tx))	mean(abs(Ty))	mean(abs(Tz))	mean(abs(Rx))	mean(abs(Ry))	mean(abs(Rz))	mean RMS	mean relative RMS (mean FD_VanDijk)	mean FD_Power	Number of FD_Power>0.5	Percent of FD_Power>0.5	Number of FD_Power>0.2	Percent of FD_Power>0.2	mean FD_Jenkinson
S01	0.5135815	0.6162738	0.7189084	0.9941053	1.107125	1.235305	0.2513941	0.3154542	0.2879539	0.2028308	0.5279146	0.6104043	0.5239864	0.04227221	0.2857602	20	0.06557377	194	0.6360656	0.1515832
S02	0.5922648	0.2095659	0.2654603	0.2767892	0.3038335	0.7331911	0.1559811	0.1067834	0.05337354	0.06283454	0.07638793	0.201529	0.2161096	0.04224428	0.1508977	2	0.006557377	63	0.2065574	0.08111819
S03	0.02826774	0.1351043	0.1696877	0.4160638	0.2316114	0.09410525	0.009870656	0.02850886	0.08443754	0.2044489	0.1108981	0.04252362	0.09571119	0.01738304	0.09820045	0	0	4	0.01311475	0.05729054
S04	2.9232556	1.2126151	1.0607915	1.8793134	1.81787424	2.08118198	1.950128148	0.62935432	0.26540718	0.91245441	0.94358742	1.1081501	2.10487948726111	0.09027137	0.56857917	144	0.472131147	260	0.85245901	0.24537543
S05	0.3818098	0.3377475	0.8035482	1.936731	0.2587286	0.3975137	0.1691766	0.1644493	0.07599939	0.900833	0.06539401	0.1189238	0.2726421	0.01960923	0.1140895	3	0.009836066	37	0.1213115	0.05974489
S06	0.3165792	0.3374703	0.2641869	0.2671971	0.3036827	0.2212852	0.191417	0.1597046	0.1248433	0.08853848	0.09439908	0.1230435	0.2837675	0.02715502	0.095279	0	0	0	0	0.05193252
S07	1.277836	0.1778734	0.5736046	0.2111881	0.6344489	1.030452	0.715933	0.04456569	0.1961274	0.0434509	0.3583843	0.6054286	0.7530587	0.02562314	0.3070485	28	0.09180328	220	0.7213115	0.1694505
S08	0.441928	0.3972389	1.754216	1.648122	0.2633246	0.5163575	0.2932037	0.06302109	1.320781	1.159056	0.1310292	0.2408809	1.360799	0.0485316	0.1800575	5	0.01639344	91	0.2983607	0.09968716
S09	0.1508544	0.0978595	0.7505182	0.2689042	0.4247865	0.4078574	0.05549819	0.02915182	0.2779467	0.1019142	0.07764278	0.06653554	0.2889619	0.1353015	0.2757749	4	0.01311475	214	0.7016393	0.162049
S10	0.103801	0.4243258	1.023606	1.120284	0.3714938	0.1898341	0.04390205	0.2116269	0.3560415	0.6592666	0.1618036	0.1034948	0.4238937	0.03406376	0.1362612	0	0	50	0.1639344	0.07704464
S100	0.5274097	0.4477588	0.745261	2.019584	1.425843	1.814148	0.1551546	0.2027615	0.1013422	0.2800755	0.2664994	0.1401772	0.2899281	0.0537387	0.2702427	22	0.07213115	125	0.4098361	0.1434786
S101	1.464199	0.5538074	0.628873	0.4924967	0.8621911	0.7525861	0.7223917	0.3300538	0.2521545	0.2015216	0.4794167	0.3283501	0.8512694	0.04771896	0.2371544	5	0.01639344	184	0.6032787	0.1318033
